the shawshank redemption,tim robbins,morgan freeman,bob gunton,william sadler,clancy brown,gil bellows,mark rolston,james whitmore
the godfather,marlon brando,al pacino,james caan,richard s. castellano,robert duvall,sterling hayden,john marley,richard conte
the godfather: part ii,al pacino,robert duvall,diane keaton,robert de niro,john cazale,talia shire,lee strasberg,michael v. gazzo
the dark knight,christian bale,heath ledger,aaron eckhart,michael caine,maggie gyllenhaal,gary oldman,morgan freeman,monique gabriela curnen
12 angry men,martin balsam,john fiedler,lee j. cobb,e.g. marshall,jack klugman,edward binns,jack warden,henry fonda
schindler's list,liam neeson,ben kingsley,ralph fiennes,caroline goodall,jonathan sagall,embeth davidtz,malgorzata gebel,shmuel levy
the lord of the rings: the return of the king,noel appleby,ali astin,sean astin,david aston,john bach,sean bean,cate blanchett,orlando bloom
pulp fiction,tim roth,amanda plummer,laura lovelace,john travolta,samuel l. jackson,phil lamarr,frank whaley,burr steers
"the good, the bad and the ugly",eli wallach,clint eastwood,lee van cleef,aldo giuffrè,luigi pistilli,rada rassimov,enzo petito,claudio scarchilli
the lord of the rings: the fellowship of the ring,alan howard,noel appleby,sean astin,sala baker,sean bean,cate blanchett,orlando bloom,billy boyd
fight club,edward norton,brad pitt,meat loaf,zach grenier,richmond arquette,david andrews,george maguire,eugenie bondurant
forrest gump,tom hanks,rebecca williams,sally field,michael conner humphreys,harold g. herthum,george kelly,bob penny,john randall
inception,leonardo dicaprio,joseph gordon-levitt,elliot page,tom hardy,ken watanabe,dileep rao,cillian murphy,tom berenger
the lord of the rings: the two towers,bruce allpress,sean astin,john bach,sala baker,cate blanchett,orlando bloom,billy boyd,jed brophy
star wars: episode v - the empire strikes back,mark hamill,harrison ford,carrie fisher,billy dee williams,anthony daniels,david prowse,peter mayhew,kenny baker
the matrix,keanu reeves,laurence fishburne,carrie-anne moss,hugo weaving,gloria foster,joe pantoliano,marcus chong,julian arahanga
goodfellas,robert de niro,ray liotta,joe pesci,lorraine bracco,paul sorvino,frank sivero,tony darrow,mike starr
one flew over the cuckoo's nest,michael berryman,peter brocco,dean r. brooks,alonzo brown,scatman crothers,mwako cumbuka,danny devito,william duell
seven samurai,toshirô mifune,takashi shimura,keiko tsushima,yukiko shimazaki,kamatari fujiwara,daisuke katô,isao kimura,minoru chiaki
se7en,morgan freeman,andrew kevin walker,daniel zacapa,brad pitt,gwyneth paltrow,john cassini,bob mack,peter crombie
the silence of the lambs,jodie foster,lawrence a. bonney,kasi lemmons,lawrence t. wrentz,scott glenn,anthony heald,frankie faison,don brockett
city of god,alexandre rodrigues,leandro firmino,phellipe haagensen,douglas silva,jonathan haagensen,matheus nachtergaele,seu jorge,jefechander suplino
life is beautiful,roberto benigni,nicoletta braschi,giorgio cantarini,giustino durano,sergio bini bustric,marisa paredes,horst buchholz,lidia alfonsi
it's a wonderful life,james stewart,donna reed,lionel barrymore,thomas mitchell,henry travers,beulah bondi,frank faylen,ward bond
saving private ryan,tom hanks,tom sizemore,edward burns,barry pepper,adam goldberg,vin diesel,giovanni ribisi,jeremy davies
star wars: episode iv - a new hope,mark hamill,harrison ford,carrie fisher,peter cushing,alec guinness,anthony daniels,kenny baker,peter mayhew
interstellar,ellen burstyn,matthew mcconaughey,mackenzie foy,john lithgow,timothée chalamet,david oyelowo,collette wolfe,francis x. mccarthy
spirited away,rumi hiiragi,miyu irino,mari natsuki,takashi naitô,yasuko sawaguchi,tatsuya gashûin,ryûnosuke kamiki,yumi tamai
the green mile,tom hanks,david morse,bonnie hunt,michael clarke duncan,james cromwell,michael jeter,graham greene,doug hutchison
spider-man: no way home,tom holland,zendaya,benedict cumberbatch,jacob batalon,jon favreau,jamie foxx,willem dafoe,alfred molina
parasite,kang-ho song,sun-kyun lee,yeo-jeong cho,woo-sik choi,so-dam park,lee jeong-eun,jang hye-jin,park myeong-hoon
léon: the professional,jean reno,gary oldman,natalie portman,danny aiello,peter appel,willi one blood,don creech,keith a. glascoe
hara-kiri,tatsuya nakadai,akira ishihama,shima iwashita,tetsurô tanba,masao mishima,ichirô nakatani,kei satô,yoshio inaba
the pianist,adrien brody,emilia fox,michal zebrowski,ed stoppard,maureen lipman,frank finlay,jessica kate meyer,julia rayner
terminator 2: judgment day,arnold schwarzenegger,linda hamilton,edward furlong,robert patrick,earl boen,joe morton,s. epatha merkerson,castulo guerra
back to the future,michael j. fox,christopher lloyd,lea thompson,crispin glover,tom wilson,claudia wells,marc mcclure,wendie jo sperber
the usual suspects,stephen baldwin,gabriel byrne,benicio del toro,kevin pollak,kevin spacey,chazz palminteri,pete postlethwaite,suzy amis
the lion king,rowan atkinson,matthew broderick,niketa calame-harris,jim cummings,whoopi goldberg,robert guillaume,jeremy irons,james earl jones
psycho,anthony perkins,vera miles,john gavin,janet leigh,martin balsam,john mcintire,simon oakland,frank albertson
modern times,charles chaplin,paulette goddard,henry bergman,tiny sandford,chester conklin,hank mann,stanley blystone,al ernest garcia
grave of the fireflies,tsutomu tatsumi,ayano shiraishi,yoshiko shinohara,akemi yamaguchi,kôzô hashida,masayo sakai,kazumi nozaki,yoshio matsuoka
american history x,edward norton,edward furlong,beverly d'angelo,jennifer lien,ethan suplee,fairuza balk,avery brooks,elliott gould
whiplash,miles teller,j.k. simmons,paul reiser,melissa benoist,austin stowell,nate lang,chris mulkey,damon gupton
gladiator,russell crowe,joaquin phoenix,connie nielsen,oliver reed,richard harris,derek jacobi,djimon hounsou,david schofield
the departed,leonardo dicaprio,matt damon,jack nicholson,mark wahlberg,martin sheen,ray winstone,vera farmiga,anthony anderson
city lights,virginia cherrill,florence lee,harry myers,al ernest garcia,hank mann,charles chaplin,johnny aber,jack alexander
the intouchables,françois cluzet,omar sy,anne le ny,audrey fleurot,joséphine de meaux,clotilde mollet,alba gaïa bellugi,cyril mendy
the prestige,hugh jackman,christian bale,michael caine,piper perabo,rebecca hall,scarlett johansson,samantha mahurin,david bowie
casablanca,humphrey bogart,ingrid bergman,paul henreid,claude rains,conrad veidt,sydney greenstreet,peter lorre,s.z. sakall
once upon a time in the west,claudia cardinale,henry fonda,jason robards,charles bronson,gabriele ferzetti,paolo stoppa,woody strode,jack elam
rear window,james stewart,grace kelly,wendell corey,thelma ritter,raymond burr,judith evelyn,ross bagdasarian,georgine darcy
cinema paradiso,antonella attili,enzo cannavale,isa danieli,leo gullotta,marco leonardi,pupella maggio,agnese nano,leopoldo trieste
alien,tom skerritt,sigourney weaver,veronica cartwright,harry dean stanton,john hurt,ian holm,yaphet kotto,bolaji badejo
apocalypse now,marlon brando,martin sheen,robert duvall,frederic forrest,sam bottoms,laurence fishburne,albert hall,harrison ford
memento,guy pearce,carrie-anne moss,joe pantoliano,mark boone junior,russ fega,jorja fox,stephen tobolowsky,harriet sansom harris
indiana jones and the raiders of the lost ark,harrison ford,karen allen,paul freeman,ronald lacey,john rhys-davies,denholm elliott,alfred molina,wolf kahler
the great dictator,charles chaplin,jack oakie,reginald gardiner,henry daniell,billy gilbert,grace hayle,carter dehaven,paulette goddard
django unchained,jamie foxx,christoph waltz,leonardo dicaprio,kerry washington,samuel l. jackson,walton goggins,dennis christopher,james remar
the lives of others,martina gedeck,ulrich mühe,sebastian koch,ulrich tukur,thomas thieme,hans-uwe bauer,volkmar kleinert,matthias brenner
paths of glory,kirk douglas,ralph meeker,adolphe menjou,george macready,wayne morris,richard anderson,joe turkel,christiane kubrick
sunset blvd.,william holden,gloria swanson,erich von stroheim,nancy olson,fred clark,lloyd gough,jack webb,franklyn farnum
wall·e,ben burtt,elissa knight,jeff garlin,fred willard,macintalk,john ratzenberger,kathy najimy,sigourney weaver
avengers: infinity war,robert downey jr.,chris hemsworth,mark ruffalo,chris evans,scarlett johansson,don cheadle,benedict cumberbatch,tom holland
witness for the prosecution,tyrone power,marlene dietrich,charles laughton,elsa lanchester,john williams,henry daniell,ian wolfe,torin thatcher
spider-man: into the spider-verse,shameik moore,jake johnson,hailee steinfeld,mahershala ali,brian tyree henry,lily tomlin,luna lauren velez,zoë kravitz
the shining,jack nicholson,shelley duvall,danny lloyd,scatman crothers,barry nelson,philip stone,joe turkel,anne jackson
dr. strangelove or: how i learned to stop worrying and love the bomb,peter sellers,george c. scott,sterling hayden,keenan wynn,slim pickens,peter bull,james earl jones,tracy reed
princess mononoke,billy crudup,billy bob thornton,minnie driver,john dimaggio,claire danes,john demita,jada pinkett smith,gillian anderson
oldboy,choi min-sik,yoo ji-tae,kang hye-jeong,kim byeong-ok,dae-han ji,dal-su oh,seung-shin lee,jin-seo yoon
joker,joaquin phoenix,robert de niro,zazie beetz,frances conroy,brett cullen,shea whigham,bill camp,glenn fleshler
your name.,ryûnosuke kamiki,mone kamishiraishi,ryô narita,aoi yûki,nobunaga shimazaki,kaito ishikawa,kanon tani,masaki terasoma
coco,anthony gonzalez,gael garcía bernal,benjamin bratt,alanna ubach,renee victor,jaime camil,alfonso arau,herbert siguenza
the dark knight rises,christian bale,gary oldman,tom hardy,joseph gordon-levitt,anne hathaway,marion cotillard,morgan freeman,michael caine
aliens,sigourney weaver,carrie henn,michael biehn,paul reiser,lance henriksen,bill paxton,william hope,jenette goldstein
once upon a time in america,robert de niro,james woods,elizabeth mcgovern,treat williams,tuesday weld,burt young,joe pesci,danny aiello
avengers: endgame,robert downey jr.,chris evans,mark ruffalo,chris hemsworth,scarlett johansson,jeremy renner,don cheadle,paul rudd
capernaum,zain al rafeea,yordanos shiferaw,boluwatife treasure bankole,kawsar al haddad,fadi yousef,cedra izzam,alaa chouchnieh,elias khoury
das boot,jürgen prochnow,herbert grönemeyer,klaus wennemann,hubertus bengsch,martin semmelrogge,bernd tauber,erwin leder,martin may
high and low,toshirô mifune,tatsuya nakadai,kyôko kagawa,tatsuya mihashi,isao kimura,kenjirô ishiyama,takeshi katô,takashi shimura
3 idiots,aamir khan,madhavan,sharman joshi,kareena kapoor,boman irani,omi vaidya,mona singh,olivier lafont
toy story,tom hanks,tim allen,don rickles,jim varney,wallace shawn,john ratzenberger,annie potts,john morris
amadeus,f. murray abraham,tom hulce,elizabeth berridge,roy dotrice,simon callow,christine ebersole,jeffrey jones,charles kay
american beauty,kevin spacey,annette bening,thora birch,wes bentley,mena suvari,peter gallagher,allison janney,chris cooper
braveheart,james robinson,sean lawlor,sandy nelson,james cosmo,sean mcginley,alan tall,andrew weir,gerda stevenson
inglourious basterds,brad pitt,mélanie laurent,christoph waltz,eli roth,michael fassbender,diane kruger,daniel brühl,til schweiger
good will hunting,matt damon,ben affleck,stellan skarsgård,john mighton,rachel majorowski,colleen mccauley,casey affleck,cole hauser
hamilton,daveed diggs,renée elise goldsberry,jonathan groff,chris jackson,jasmine cephas jones,lin-manuel miranda,leslie odom jr.,okieriete onaodowan
come and see,aleksey kravchenko,olga mironova,liubomiras laucevicius,vladas bagdonas,jüri lumiste,viktors lorencs,kazimir rabetsky,evgeniy tilicheev
star wars: episode vi - return of the jedi,mark hamill,harrison ford,carrie fisher,billy dee williams,anthony daniels,peter mayhew,sebastian shaw,ian mcdiarmid
2001: a space odyssey,keir dullea,gary lockwood,william sylvester,daniel richter,leonard rossiter,margaret tyzack,robert beatty,sean sullivan
reservoir dogs,harvey keitel,tim roth,michael madsen,chris penn,steve buscemi,lawrence tierney,randy brooks,kirk baltz
like stars on earth,darsheel safary,aamir khan,tisca chopra,vipin sharma,sachet engineer,tanay chheda,lalitha lajmi,girija oak
vertigo,james stewart,kim novak,barbara bel geddes,tom helmore,henry jones,raymond bailey,ellen corby,konstantin shayne
m,peter lorre,ellen widmann,inge landgut,otto wernicke,theodor loos,gustaf gründgens,friedrich gnaß,fritz odemar
the hunt,betty gilpin,hilary swank,ike barinholtz,wayne duvall,ethan suplee,emma roberts,christopher berry,sturgill simpson
citizen kane,joseph cotten,dorothy comingore,agnes moorehead,ruth warrick,ray collins,erskine sanford,everett sloane,william alland
singin' in the rain,gene kelly,donald o'connor,debbie reynolds,jean hagen,millard mitchell,cyd charisse,douglas fowley,rita moreno
requiem for a dream,ellen burstyn,jared leto,jennifer connelly,marlon wayans,christopher mcdonald,louise lasser,marcia jean kurtz,janet sarno
north by northwest,cary grant,eva marie saint,james mason,jessie royce landis,leo g. carroll,josephine hutchinson,philip ober,martin landau
ikiru,takashi shimura,shin'ichi himori,haruo tanaka,minoru chiaki,miki odagiri,bokuzen hidari,minosuke yamada,kamatari fujiwara
eternal sunshine of the spotless mind,jim carrey,kate winslet,gerry robert byrne,elijah wood,thomas jay ryan,mark ruffalo,jane adams,david cross
bicycle thieves,lamberto maggiorani,enzo staiola,lianella carell,elena altieri,gino saltamerenda,giulio chiari,vittorio antonucci,michele sakara
lawrence of arabia,peter o'toole,alec guinness,anthony quinn,jack hawkins,omar sharif,josé ferrer,anthony quayle,claude rains
the kid,jake schur,leila george,chris pratt,dane dehaan,ethan hawke,charlie chappell,clint obenchain,chris bylsma
full metal jacket,matthew modine,adam baldwin,vincent d'onofrio,r. lee ermey,dorian harewood,kevyn major howard,arliss howard,ed o'ross
incendies,mustafa kamel,hussein sami,rémy girard,mélissa désormeaux-poulin,maxim gaudette,dominique briand,lubna azabal,frédéric paquet
dangal,aamir khan,fatima sana shaikh,sanya malhotra,sakshi tanwar,aparshakti khurana,zaira wasim,suhani bhatnagar,ritvik sahore
the apartment,jack lemmon,shirley maclaine,fred macmurray,ray walston,jack kruschen,david lewis,hope holiday,joan shawlee
double indemnity,fred macmurray,barbara stanwyck,edward g. robinson,porter hall,jean heather,tom powers,byron barr,richard gaines
metropolis,alfred abel,gustav fröhlich,rudolf klein-rogge,fritz rasp,theodor loos,erwin biswanger,heinrich george,brigitte helm
a clockwork orange,malcolm mcdowell,patrick magee,michael bates,warren clarke,john clive,adrienne corri,carl duering,paul farrell
taxi driver,diahnne abbott,frank adu,victor argo,gino ardito,garth avery,peter boyle,albert brooks,harry cohn
the father,olivia colman,anthony hopkins,mark gatiss,olivia williams,imogen poots,rufus sewell,ayesha dharker,roman zeller
the sting,paul newman,robert redford,robert shaw,charles durning,ray walston,eileen brennan,harold gould,john heffernan
a separation,payman maadi,leila hatami,sareh bayat,shahab hosseini,sarina farhadi,merila zare'i,ali-asghar shahbazi,babak karimi
scarface,al pacino,steven bauer,michelle pfeiffer,mary elizabeth mastrantonio,robert loggia,miriam colon,f. murray abraham,paul shenar
snatch,ade,william beck,andy beckwith,ewen bremner,jason buckham,mickey cantwell,nicola collins,teena collins
1917,dean-charles chapman,george mackay,daniel mays,colin firth,pip carter,andy apollo,paul tinto,josef davies
amélie,audrey tautou,mathieu kassovitz,rufus,lorella cravotta,serge merlin,jamel debbouze,clotilde mollet,claire maurier
to kill a mockingbird,gregory peck,john megna,frank overton,rosemary murphy,ruth white,brock peters,estelle evans,paul fix
toy story 3,tom hanks,tim allen,joan cusack,ned beatty,don rickles,michael keaton,wallace shawn,john ratzenberger
for a few dollars more,clint eastwood,lee van cleef,gian maria volontè,mara krupp,luigi pistilli,klaus kinski,luis rodríguez,benito stefanelli
up,edward asner,christopher plummer,jordan nagai,bob peterson,delroy lindo,jerome ranft,john ratzenberger,david kaye
pather panchali,kanu bannerjee,karuna bannerjee,chunibala devi,uma das gupta,subir banerjee,runki banerjee,reba devi,aparna devi
